category,Positif,Netral,Negatif,Persentase_Positif (%),Persentase_Netral (%),Persentase_Negatif (%),Total
feedback penonton,544,17626,89,2.98%,96.53%,0.49%,18259
kompleksitas perawatan,16,2132,2,0.74%,99.16%,0.09%,2150
dosis dan waktu pupuk,33,1758,9,1.83%,97.67%,0.5%,1800
konflik pupuk kimia organik,34,1002,6,3.26%,96.16%,0.58%,1042
minat konsumen organik,23,615,7,3.57%,95.35%,1.09%,645
efektivitas pengendalian hama,9,503,1,1.75%,98.05%,0.19%,513
kepercayaan produk organik,26,353,2,6.82%,92.65%,0.52%,381
minat hidroponik,8,331,2,2.35%,97.07%,0.59%,341
hasil panen organik,19,315,4,5.62%,93.2%,1.18%,338
biaya awal hidroponik,4,331,0,1.19%,98.81%,0.0%,335
kompatibilitas pestisida,1,331,0,0.3%,99.7%,0.0%,332
dampak pupuk ke tanaman,11,302,3,3.48%,95.57%,0.95%,316
risiko pestisida kesehatan,6,256,1,2.28%,97.34%,0.38%,263
efisiensi air irigasi,3,223,2,1.32%,97.81%,0.88%,228
teknologi irigasi modern,4,189,3,2.04%,96.43%,1.53%,196
keuntungan hidroponik,4,177,0,2.21%,97.79%,0.0%,181
efisiensi penggunaan pupuk,7,129,0,5.15%,94.85%,0.0%,136
biaya infrastruktur irigasi,1,124,0,0.8%,99.2%,0.0%,125
harga produk organik,9,103,0,8.04%,91.96%,0.0%,112
alternatif pengendalian alami,0,71,0,0.0%,100.0%,0.0%,71
keandalan sistem irigasi,5,39,1,11.11%,86.67%,2.22%,45
